transaction_id,account_id,transaction_date,transaction_type,amount,currency,category,location
1,1001,2023-07-01,Credit,1200.50,USD,Salary,New York
2,1001,2023-07-03,Debit,150.75,USD,Groceries,New York
3,1002,2023-07-02,Credit,2500.00,EUR,Salary,Berlin
4,1003,2023-07-04,Debit,1000.00,USD,Rent,Los Angeles
5,1002,2023-07-05,Credit,200.00,EUR,Investment,Berlin
6,1001,2023-07-06,Debit,500.00,USD,Utilities,New York
7,1004,2023-07-07,Credit,1500.00,USD,Salary,Chicago
8,1003,2023-07-08,Debit,100.00,USD,Entertainment,Los Angeles
9,1004,2023-07-09,Debit,300.00,USD,Groceries,Chicago
10,1002,2023-07-10,Credit,2200.00,EUR,Salary,Berlin
11,1005,2023-07-11,Debit,250.00,USD,Transportation,San Francisco
12,1001,2023-07-12,Credit,800.00,USD,Freelance,New York
13,1004,2023-07-13,Debit,450.00,USD,Entertainment,Chicago
14,1002,2023-07-14,Debit,500.00,EUR,Groceries,Berlin
15,1005,2023-07-15,Credit,3000.00,USD,Salary,San Francisco
16,1003,2023-07-16,Debit,1200.00,USD,Rent,Los Angeles
17,1001,2023-07-17,Credit,100.00,USD,Investment,New York
18,1004,2023-07-18,Debit,700.00,USD,Utilities,Chicago
19,1002,2023-07-19,Credit,2300.00,EUR,Salary,Berlin
20,1005,2023-07-20,Debit,60.00,USD,Coffee,San Francisco
21,1001,2023-07-21,Credit,2000.00,USD,Bonus,New York
22,1004,2023-07-22,Debit,500.00,USD,Groceries,Chicago
23,1003,2023-07-23,Credit,400.00,USD,Freelance,Los Angeles
24,1005,2023-07-24,Debit,120.00,USD,Transportation,San Francisco
25,1002,2023-07-25,Credit,2100.00,EUR,Salary,Berlin
26,1001,2023-07-26,Debit,80.00,USD,Coffee,New York
27,1004,2023-07-27,Debit,300.00,USD,Groceries,Chicago
28,1003,2023-07-28,Credit,250.00,USD,Freelance,Los Angeles
29,1002,2023-07-29,Debit,100.00,EUR,Entertainment,Berlin
30,1005,2023-07-30,Debit,75.00,USD,Groceries,Chicago
31,1001,2023-07-31,Credit,150.00,USD,Investment,New York
32,1004,2023-08-01,Credit,1800.00,USD,Salary,Chicago
33,1003,2023-08-02,Debit,900.00,USD,Rent,Los Angeles
34,1005,2023-08-03,Debit,30.00,USD,Coffee,San Francisco
35,1002,2023-08-04,Credit,2400.00,EUR,Salary,Berlin
36,1001,2023-08-05,Debit,200.00,USD,Groceries,New York
37,1004,2023-08-06,Debit,350.00,USD,Entertainment,Chicago
38,1003,2023-08-07,Credit,100.00,USD,Investment,Los Angeles
39,1002,2023-08-08,Debit,70.00,EUR,Coffee,Berlin
40,1005,2023-08-09,Debit,800.00,USD,Utilities,San Francisco
41,1001,2023-08-10,Credit,900.00,USD,Freelance,New York
42,1004,2023-08-11,Debit,400.00,USD,Transportation,Chicago
43,1003,2023-08-12,Credit,1300.00,USD,Freelance,Los Angeles
44,1002,2023-08-13,Debit,150.00,EUR,Groceries,Berlin
45,1005,2023-08-14,Credit,2700.00,USD,Salary,San Francisco
46,1001,2023-08-15,Debit,600.00,USD,Utilities,New York
47,1004,2023-08-16,Debit,50.00,USD,Coffee,Chicago
48,1003,2023-08-17,Credit,500.00,USD,Freelance,Los Angeles
49,1002,2023-08-18,Debit,60.00,EUR,Coffee,Berlin
50,1005,2023-08-19,Debit,120.00,USD,Transportation,San Francisco
